time,open,high,low,close,tick_volume,spread,real_volume
2025-09-28 01:20:00,9298.25,9299.39,9297.32,9297.36,59,26,0
2025-09-28 01:21:00,9297.6,9297.85,9295.38,9295.48,60,26,0
2025-09-28 01:22:00,9295.71,9295.84,9294.91,9295.2,60,26,0
2025-09-28 01:23:00,9295.26,9295.62,9294.21,9295.44,59,26,0
2025-09-28 01:24:00,9295.55,9296.28,9294.72,9294.74,59,26,0
2025-09-28 01:25:00,9294.77,9296.46,9294.12,9296.45,58,26,0
2025-09-28 01:26:00,9296.51,9297.01,9295.43,9296.54,58,26,0
2025-09-28 01:27:00,9296.51,9297.81,9296.04,9297.31,59,26,0
2025-09-28 01:28:00,9297.51,9299.53,9297.0,9298.93,59,26,0
2025-09-28 01:29:00,9298.96,9298.96,9297.05,9298.15,60,26,0
2025-09-28 01:30:00,9298.11,9298.11,9296.6,9297.39,59,26,0
2025-09-28 01:31:00,9297.37,9299.14,9297.25,9297.4,57,26,0
2025-09-28 01:32:00,9297.46,9297.96,9295.56,9295.8,59,26,0
2025-09-28 01:33:00,9295.7,9295.7,9294.27,9295.12,58,26,0
2025-09-28 01:34:00,9295.03,9297.51,9294.27,9297.51,60,26,0
2025-09-28 01:35:00,9297.69,9297.88,9294.46,9295.06,56,26,0
2025-09-28 01:36:00,9295.27,9295.8,9293.33,9293.48,59,26,0
2025-09-28 01:37:00,9293.32,9294.51,9293.21,9293.78,60,26,0
2025-09-28 01:38:00,9294.03,9294.03,9290.55,9290.55,57,26,0
2025-09-28 01:39:00,9290.5,9291.78,9289.84,9289.84,59,26,0
2025-09-28 01:40:00,9290.01,9290.27,9288.58,9289.28,60,26,0
2025-09-28 01:41:00,9289.19,9289.8,9288.35,9288.99,60,26,0
2025-09-28 01:42:00,9288.75,9288.87,9287.25,9288.11,56,26,0
2025-09-28 01:43:00,9288.15,9288.15,9286.17,9287.34,59,26,0
2025-09-28 01:44:00,9287.4,9288.15,9286.51,9288.15,59,26,0
2025-09-28 01:45:00,9288.16,9288.96,9288.16,9288.33,60,26,0
2025-09-28 01:46:00,9288.38,9288.39,9284.76,9284.76,60,26,0
